year,weekday_print_circulation_millions,yoy_decline_pct,source
2014,40.4,,Pew Research Center - Newspapers Fact Sheet
2015,38.0,-5.94,Pew Research Center - Newspapers Fact Sheet
2016,35.0,-7.89,Pew Research Center - Newspapers Fact Sheet
2017,31.0,-11.43,Pew Research Center - Newspapers Fact Sheet
2018,28.5,-8.06,Pew Research Center - Newspapers Fact Sheet
2019,26.2,-8.07,Pew Research Center - Newspapers Fact Sheet
2020,24.3,-7.25,Pew Research Center - Newspapers Fact Sheet
2021,21.7,-10.70,Pew Research Center - Newspapers Fact Sheet
2022,20.9,-3.69,Pew Research Center - Newspapers Fact Sheet
